province_name,patient
กรุงเทพมหานคร,10390
สงขลา,8056
ประจวบคีรีขันธ์,7487
สุราษฎร์ธานี,2227
ขอนแก่น,1795
นครศรีธรรมราช,1222
บุรีรัมย์,873
สิงห์บุรี,728
นครราชสีมา,680
นครสวรรค์,516
ชุมพร,460
สกลนคร,413
ร้อยเอ็ด,410
ชัยภูมิ,391
เชียงราย,385
ลำปาง,353
เชียงใหม่,317
มหาสารคาม,271
ภูเก็ต,228
ชลบุรี,204
จันทบุรี,164
ตรัง,150
สตูล,148
แพร่,130
เพชรบูรณ์,127
ตาก,123
เลย,120
พะเยา,110
นครพนม,109
อุตรดิตถ์,109
สมุทรปราการ,81
นครนายก,78
กาญจนบุรี,77
อำนาจเจริญ,77
อุดรธานี,75
กาฬสินธุ์,70
หนองคาย,68
สุโขทัย,61
สมุทรสาคร,50
เพชรบุรี,50
ลพบุรี,48
แม่ฮ่องสอน,48
นครปฐม,40
นราธิวาส,39
ปทุมธานี,35
พัทลุง,26
ราชบุรี,22
ยโสธร,12
อ่างทอง,12
ระยอง,11
ปัตตานี,10
ศรีสะเกษ,7
สุรินทร์,7
มุกดาหาร,6
ชัยนาท,4
ยะลา,3
ลำพูน,2
น่าน,1
พระนครศรีอยุธยา,1
พิษณุโลก,1
สระแก้ว,1
สุพรรณบุรี,1
