บริการ,บริการรายการย่อย,Measure Names,Measure Values
10.บริการยุติการตั้งครรภ์ที่ไม่ปลอดภัย,รวม,จำนวนเงินจ่าย,118989501
10.บริการยุติการตั้งครรภ์ที่ไม่ปลอดภัย,01_ยา Medabon,จำนวนเงินจ่าย,83216801
10.บริการยุติการตั้งครรภ์ที่ไม่ปลอดภัย,04_การยุติการตั้งครรภ์,จำนวนเงินจ่าย,24849000
10.บริการยุติการตั้งครรภ์ที่ไม่ปลอดภัย,02_กระบอกดูดสุญญากาศ(MVA),จำนวนเงินจ่าย,10905700
10.บริการยุติการตั้งครรภ์ที่ไม่ปลอดภัย,03_การใช้เครืองดูดสูญญาการไฟฟ้า(EVA),จำนวนเงินจ่าย,18000
10.บริการยุติการตั้งครรภ์ที่ไม่ปลอดภัย,รวม,จำนวนครั้ง,40241
10.บริการยุติการตั้งครรภ์ที่ไม่ปลอดภัย,01_ยา Medabon,จำนวนครั้ง,28253
10.บริการยุติการตั้งครรภ์ที่ไม่ปลอดภัย,04_การยุติการตั้งครรภ์,จำนวนครั้ง,8345
10.บริการยุติการตั้งครรภ์ที่ไม่ปลอดภัย,02_กระบอกดูดสุญญากาศ(MVA),จำนวนครั้ง,3637
10.บริการยุติการตั้งครรภ์ที่ไม่ปลอดภัย,03_การใช้เครืองดูดสูญญาการไฟฟ้า(EVA),จำนวนครั้ง,6
10.บริการยุติการตั้งครรภ์ที่ไม่ปลอดภัย,รวม,จำนวนคน,39335
10.บริการยุติการตั้งครรภ์ที่ไม่ปลอดภัย,01_ยา Medabon,จำนวนคน,27952
10.บริการยุติการตั้งครรภ์ที่ไม่ปลอดภัย,04_การยุติการตั้งครรภ์,จำนวนคน,8222
10.บริการยุติการตั้งครรภ์ที่ไม่ปลอดภัย,02_กระบอกดูดสุญญากาศ(MVA),จำนวนคน,3621
10.บริการยุติการตั้งครรภ์ที่ไม่ปลอดภัย,03_การใช้เครืองดูดสูญญาการไฟฟ้า(EVA),จำนวนคน,6
10.บริการยุติการตั้งครรภ์ที่ไม่ปลอดภัย,รวม,จำนวนหน่วย,162
10.บริการยุติการตั้งครรภ์ที่ไม่ปลอดภัย,01_ยา Medabon,จำนวนหน่วย,108
10.บริการยุติการตั้งครรภ์ที่ไม่ปลอดภัย,04_การยุติการตั้งครรภ์,จำนวนหน่วย,20
10.บริการยุติการตั้งครรภ์ที่ไม่ปลอดภัย,02_กระบอกดูดสุญญากาศ(MVA),จำนวนหน่วย,81
10.บริการยุติการตั้งครรภ์ที่ไม่ปลอดภัย,03_การใช้เครืองดูดสูญญาการไฟฟ้า(EVA),จำนวนหน่วย,3
